Subject,dkey,skey,Block,TrialNum,CorrResp,Match,Probe,Accuracy,RTms,Ziffer1,Ziffer2,Ziffer3,Ziffer4,Ziffer5,n_pre,n_filter,n_finalintra,LogRT,RTs,RespSpeed,PropFilter,PropDel,PropTotal
46,l,d,S5,7,l,0,2,1,929,0,1,6,5,7,20,20,20,6.83410873881384,0.929,1.07642626480086,0,0,0
46,l,d,S5,8,l,0,9,1,1076,5,4,6,7,8,20,20,20,6.98100574072173,1.076,0.929368029739777,0,0,0
46,l,d,S5,9,d,1,0,1,1152,5,8,0,4,6,20,20,20,7.04925484125584,1.152,0.868055555555556,0,0,0
46,l,d,S5,10,d,1,9,1,818,4,9,3,1,5,20,20,20,6.70686233660275,0.818,1.22249388753056,0,0,0
46,l,d,S5,11,d,1,6,1,712,4,6,0,2,3,20,20,20,6.56807791141198,0.712,1.40449438202247,0,0,0
46,l,d,S5,12,l,0,0,1,828,7,3,9,5,6,20,20,20,6.71901315438526,0.828,1.20772946859903,0,0,0
46,l,d,S5,13,d,1,6,1,722,0,1,9,5,6,20,20,20,6.58202513889283,0.722,1.38504155124654,0,0,0
46,l,d,S5,14,l,0,9,1,1061,7,5,3,1,8,20,20,20,6.96696713861398,1.061,0.942507068803016,0,0,0
46,l,d,S5,15,l,0,8,1,766,5,7,6,2,9,20,20,20,6.64118216974059,0.766,1.30548302872063,0,0,0
46,l,d,S5,16,l,0,2,1,2199,4,7,8,3,9,20,20,20,7.69575799055476,2.199,0.45475216007276,0,0,0
46,l,d,S5,17,d,1,5,1,1078,4,5,6,1,3,20,20,20,6.98286275146894,1.078,0.927643784786642,0,0,0
46,l,d,S5,18,l,0,4,1,1387,9,3,5,7,1,20,20,20,7.23489842031483,1.387,0.720980533525595,0,0,0
46,l,d,S5,19,l,0,3,1,1579,1,5,9,2,8,20,20,20,7.36454701425564,1.579,0.633312222925903,0,0,0
46,l,d,S5,20,d,1,1,1,1028,6,3,1,9,7,20,20,20,6.93537044601511,1.028,0.972762645914397,0,0,0
46,l,d,S5,21,l,0,7,1,1002,1,5,0,8,9,20,20,20,6.90975328164481,1.002,0.998003992015968,0,0,0
46,l,d,S5,22,l,0,3,1,1482,5,4,0,6,9,20,20,20,7.30114780585603,1.482,0.67476383265857,0,0,0
46,l,d,S5,23,d,1,8,1,826,1,0,8,2,5,20,20,20,6.71659477352098,0.826,1.21065375302663,0,0,0
46,l,d,S5,24,d,1,0,1,1036,4,1,3,2,0,20,20,20,6.94312242281943,1.036,0.965250965250965,0,0,0
46,l,d,S5,25,d,1,8,1,622,8,1,7,4,9,20,20,20,6.43294009273918,0.622,1.60771704180064,0,0,0
46,l,d,S5,26,l,0,4,1,2109,5,7,0,6,9,20,20,20,7.65396918047877,2.109,0.474158368895211,0,0,0
46,l,d,S5,27,d,1,6,1,704,5,0,6,7,4,20,20,20,6.55677835615804,0.704,1.42045454545455,0,0,0
46,l,d,S5,28,d,1,3,1,516,6,8,4,9,3,20,20,20,6.24610676548156,0.516,1.93798449612403,0,0,0
46,l,d,S5,29,d,1,9,1,818,5,9,7,8,6,20,20,20,6.70686233660275,0.818,1.22249388753056,0,0,0
46,l,d,S5,30,l,0,4,1,1085,8,7,0,6,5,20,20,20,6.98933526597456,1.085,0.921658986175115,0,0,0
46,l,d,S5,31,l,0,1,1,1061,3,2,4,5,9,20,20,20,6.96696713861398,1.061,0.942507068803016,0,0,0
46,l,d,S5,32,d,1,0,1,466,9,8,0,2,3,20,20,20,6.14418563412565,0.466,2.14592274678112,0,0,0
46,l,d,S5,33,l,0,1,1,1095,5,0,7,3,2,20,20,20,6.9985096422506,1.095,0.91324200913242,0,0,0
